id_old,created_at,title,image,description,price,stock,category,featured,id
84,2024-12-09 19:21:31.165849+00,Jackson Dinky,https://www.testar.dev/ironhack/git-arr/product-images/Jackson-Dinky.jpg,"Sleek guitar with high-output pickups, designed for fast playing.",749.99,7,1,false,0dd56a34-f14f-411c-a296-264134d617f0
106,2024-12-09 19:21:31.165849+00,Larrivée D-03,https://www.testar.dev/ironhack/git-arr/product-images/Larrivee-D-03.jpg,"Handcrafted acoustic guitar with a clear, balanced sound.",1299.99,6,2,false,2bc03383-e13a-4d1b-8de4-95fed174915a
103,2024-12-09 19:21:31.165849+00,Breedlove Discovery Concert,https://www.testar.dev/ironhack/git-arr/product-images/Breedlove-Discovery-Concert.jpg,"Eco-friendly acoustic guitar with a bright tone, perfect for fingerstyle.",349.99,15,2,true,2cef7c12-c2bd-4ad9-9a74-db01794ceb10
107,2024-12-09 19:21:31.165849+00,Takamine GD93CE,https://www.testar.dev/ironhack/git-arr/product-images/Takamine-GD93CE.jpg,Acoustic-electric guitar with a rosewood body and great stage presence.,749.99,8,2,false,3541d64b-db95-4a1d-ace6-71bc9112a079
96,2024-12-09 19:21:31.165849+00,PRS McCarty 594,https://www.testar.dev/ironhack/git-arr/product-images/PRS-McCarty-594.jpg,High-end guitar with vintage-inspired tones and impeccable craftsmanship.,3499.99,2,1,false,35e0929b-8a04-493a-a6c1-32ea5a9bdb17
99,2024-12-09 19:21:31.165849+00,Yamaha FG800,https://www.testar.dev/ironhack/git-arr/product-images/Yamaha-FG800.jpg,"Classic acoustic guitar with a warm sound, perfect for beginners and pros alike.",199.99,18,2,true,3ca7c0b7-613b-499e-a510-7d07cc907b44
87,2024-12-09 19:21:31.165849+00,Epiphone SG Standard,https://www.testar.dev/ironhack/git-arr/product-images/Epiphone-SG-Standard.jpg,"Affordable version of the Gibson SG, with powerful rock tones.",499.99,10,1,true,4464c570-5a51-4994-8b78-a89b994d9c86
83,2024-12-09 19:21:31.165849+00,Yamaha Pacifica 112V,https://www.testar.dev/ironhack/git-arr/product-images/Yamaha-Pacifica-112V.jpg,"Affordable, high-quality guitar suitable for beginners and intermediate players.",299.99,20,1,true,65e0ff36-29da-45f1-b71d-fd107a32a29b
80,2024-12-09 19:21:31.165849+00,Gibson Les Paul,https://www.testar.dev/ironhack/git-arr/product-images/Gibson-Les-Paul.jpg,"Famous for its rich, warm tones and solid build. Popular among rock guitarists.",1199.99,8,1,false,66d6c24b-cb6f-4338-84fa-4069b62bf4cd
85,2024-12-09 19:21:31.165849+00,ESP LTD EC-1000,https://www.testar.dev/ironhack/git-arr/product-images/ESP-LTD-EC-1000.jpg,Heavy metal favorite with powerful pickups and aggressive tones.,999.99,6,1,false,74e727ae-e35f-4eda-8976-6d504f53fe8c
92,2024-12-09 19:21:31.165849+00,Guild Starfire IV,https://www.testar.dev/ironhack/git-arr/product-images/Guild-Starfire-IV.jpg,Semi-hollow electric guitar with a retro feel and rich tone.,1199.99,6,1,false,7706ed11-453e-40bc-abb7-9ec354c740fd
93,2024-12-09 19:21:31.165849+00,Ibanez Artcore AS73,https://www.testar.dev/ironhack/git-arr/product-images/Ibanez-Artcore-AS73.jpg,"Affordable semi-hollow body guitar, perfect for jazz and blues.",499.99,15,1,true,8d12c3e0-c933-489e-a58a-6cac05baee48
105,2024-12-09 19:21:31.165849+00,Martin 000-15M,https://www.testar.dev/ironhack/git-arr/product-images/Martin-000-15M.jpg,"All-mahogany acoustic guitar with a warm, woody sound.",1399.99,7,2,false,9198f192-4ba8-48f4-ab8f-45d86829606b
101,2024-12-09 19:21:31.165849+00,Taylor GS Mini,https://www.testar.dev/ironhack/git-arr/product-images/Taylor-GS-Mini.jpg,Compact acoustic guitar with a big sound. Ideal for travel and small gigs.,649.99,10,2,false,92d94f68-4b1c-4dfb-8cc9-f230800b3d0e
100,2024-12-09 19:21:31.165849+00,Seagull S6 Original,https://www.testar.dev/ironhack/git-arr/product-images/Seagull-S6-Original.jpg,"Canadian-made acoustic guitar known for its full, rich sound.",499.99,12,2,true,93534a1f-9d9e-44a7-bc2a-5b9014185519
88,2024-12-09 19:21:31.165849+00,Fender Telecaster,https://www.testar.dev/ironhack/git-arr/product-images/Fender-Telecaster.jpg,Classic electric guitar known for its twangy sound. A favorite for country and rock.,899.99,14,1,false,97a849c2-70ea-4df4-8771-5b31edc1fd16
